Comune;Provincia;Tipologia;Stelle;Nome;Telefono;Indirizzo;CAP;Citta;Sigla provincia;Indirizzo posta elettronica;Indirizzo internet;Codice esercizio;Id;Latitudine;Longitudine
BAGNONE;MASSA-CARRARA;Case per Vacanze;0;Il Mulino del tempo perduto;0039-0572-524578;Piazza Roma, 0 - Loc. BAGNONE - Fraz. Piallastra Le tre fontane;54021;Bagnone;MS;debdorsi73@hotmail.it;;045002CAV0003;17870;443153196;99956531
BAGNONE;MASSA-CARRARA;Case per Vacanze;0;PIALLASTRA;0039-0187-427525;delle Casa Sparse, 0 - Loc. BAGNONE - Fraz. Piallastra;54021;Bagnone;MS;piallastra@yahoo.it;;045002CAV0001;14032;443146799;99945108
BAGNONE;MASSA-CARRARA;Ostelli;0;LA GUTULA;;Piazza Marconi, 3 - Loc. AULLA;54021;Bagnone;MS;andreanegrari@commercialistii.fi.it;;045002OST0001;17054;44315415;9994313
BAGNONE;MASSA-CARRARA;Residenze d'Epoca;0;IL GIARDINO DELLA LUNA;0039-0187-429152;LOC CASTIGLIONE DEL TERZIERE;54021;Bagnone;MS;info@ilgiardinodellaluna.it;www.ilgiardinodellaluna.it;045002REP0001;13861;442972543563782;999421119689941
CARRARA;MASSA-CARRARA;Affittacamere;0;ACCOMMODATION IN .. CARRARA;0039-0585-777000;Via Carriona di Colonnata, 41 - Loc. Carrara;54033;Carrara;MS;info@accommodationincarrara.com;www.accommodationcarrara.com;045003AFR0013;19914;440827577;101037608
CARRARA;MASSA-CARRARA;Affittacamere;0;AFFITTACAMERE  VILLA GINO SELVINI R.;;Bassagrande, 69 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;;;045003AFR0001;13904;440793245;10097677
CARRARA;MASSA-CARRARA;Affittacamere;0;BAGNO LUNEZIA;0039-0585-630795;Viale COLOMBO 74 - Loc. Marina di Carrara;54033;Carrara;MS;info@bagnolunezia.it;www.bagnolunezia.it;045003AFR0006;13804;440359679;100438256
CARRARA;MASSA-CARRARA;Affittacamere;0;BAGNO STELLA DEL MARE;0039-0585-785190;Viale Colombo, 68 - Loc. Marina di Carrara;54036;Carrara;MS;info@hotelstelladelmare.com;www.hotelstelladelmare.com;045003AFR0004;13738;440793245;10097677
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B ANTICA CARRARA;0039-335-1893026;Via dell'arancio, 17 - Loc. CARRARA;54033;Carrara;MS;info@anticacarrara.com;www.anticacarrara.com;045003AFR0003;13807;440794652;101001405
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B CONVENTO LA PERLA;0039-0585-1814932;Via della Perla , 34 - Loc. Bonascola;54033;Carrara;MS;conventolaperla@gmail.com;www.conventolaperla.it;045003AFR0014;20387;440793245;10097677
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B LA CHICCA;0039-346-6774102;Carlo Pisacane - Fraz. Bedizzano;54033;Carrara;MS;info@bblachicca.com;www.bblachicca.com;045003AFR0015;20412;440786473;101244664
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B MAGNOLIA;0039-0585-840610;Viale XX Settembre, 142 - Loc. CARRARA - Fraz. Loc. Stadio;54033;Carrara;MS;info@bedandbreakfastmagnolia.it;www.bedandbreakfastmagnolia.it;045003AFR0008;17655;44079337;10101236
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B NANNALIA;0039-0585-786040;Viale Monzoni, 107 bis - Loc. Marina di Carrara;54033;Carrara;MS;info@nannalia.it;www.nannalia.it;045003AFR0016;21510;440359679;100438256
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B RESIDENZA MARINA;0039-338-5348435;Via Venezia, 72 - Fraz. Marina di Carrara;54033;Carrara;MS;info@residenzamarina.it;www.residenzamarina.it;045003AFR0011;19099;440406651429977;100349486169967
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B Venezia;0039-0585-630106;Viale Amerigo Vespucci, 30 - Loc. Marina di Carrara;54033;Carrara;MS;;;045003AFR0012;19100;440359604;10043816
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B VILLA ACERO;0039-0585-787693;Bigioni, 54 bis - Loc. CARRARA - MARINA DI CARRARA - Fraz. Carrara;54033;Carrara;MS;info@villaacero.it;www.villaacero.it;045003AFR0010;17869;440793245;10097677
CARRARA;MASSA-CARRARA;Affittacamere;0;B&B VILLA BELVERDE;0039-0585-845304;XX Settembre, 73 - Loc. CARRARA;54033;Carrara;MS;info@villabelverde.it;www.villabelverde.it;045003AFR0009;17873;440669400784329;10075962090213
CARRARA;MASSA-CARRARA;Affittacamere;0;FORESTERIA DEL MURAGLIONE;0039-338-2295287;Fivizzano, 13 - Loc. CARRARA;54033;Carrara;MS;info@foresteriamuraglione.com;www.foresteriamuraglione.com;045003AFR0002;14064;440793245;10097677
CARRARA;MASSA-CARRARA;Agriturismi;2;FATTORIA BATTILANA;0039-0585-780663;pontremoli, 9 - Loc. Marina di Carrara;54033;Carrara;MS;info@fattoriabattilana.com;www.fattoriabattilana.com;045003AAT0001;13966;440359679;100438256
CARRARA;MASSA-CARRARA;Alberghi - Hotel;1;MAURIN;0039-0585-859385;Via Fiorino, 2 - Loc. Avenza;54033;Carrara;MS;maurin@email.it;www.maurin1952.it;045003ALB0005;13963;440499499;1004919
CARRARA;MASSA-CARRARA;Alberghi - Hotel;1;RADAR;0039-0585-842840;Via DELLE MACCHIACCE 13 - Loc. Santa Lucia - Fraz. Fontia;54033;Carrara;MS;hotelradarcarraragmail.com;www.ristorante-radar.it;045003ALB0025;14005;44079337;10101236
CARRARA;MASSA-CARRARA;Alberghi - Hotel;2;ATLANTIC;0039-0585-630018;Viale Vespucci , 36 - Loc. MARINA DI CARRARA;54033;Carrara;MS;info@hotel-atlantic.it;www.hotel-atlantic.it;045003ALB0014;13823;440359679;100438256
CARRARA;MASSA-CARRARA;Alberghi - Hotel;2;DELFINO;0039-0585-788423;VIALE COLOMBO 68 - Loc. Marina di Carrara;54033;Carrara;MS;info@hoteldelfinomarinadicarrara.com;www.hoteldelfinomarinadicarrara.com;045003ALB0027;13819;440359679;100438256
CARRARA;MASSA-CARRARA;Alberghi - Hotel;2;DORA;0039-0585-70634;Via Apuana, 3/F - Loc. Carrara Centro;54033;Carrara;MS;info@hotel-dora.it;www.hotel-dora.it;045003ALB0004;13976;4407922;1009702
CARRARA;MASSA-CARRARA;Alberghi - Hotel;2;LA PINETA;0039-0585-777161;CORSO ROSSELLI 3 - Loc. Marina di Carrara;54033;Carrara;MS;info@hotelristorantelapineta.com;www.hotelristorantelapineta.com;045003ALB0029;19095;440359604;10043816
CARRARA;MASSA-CARRARA;Alberghi - Hotel;2;SERGIO;0039-0585-858938;S.P. Avenza Carrara, 180 - Loc. Avenza;54033;Carrara;MS;hotelsergio@tin.it;;045003ALB0006;13704;440499499;1004919
CARRARA;MASSA-CARRARA;Alberghi - Hotel;3;CARRARA;0039-0585-857616;Via Petacchi, 21 - Loc. Avenza;54033;Carrara;MS;info@hotelcarrara.it;www.hotelcarrara.com;045003ALB0003;13706;440499499;1004919
CARRARA;MASSA-CARRARA;Alberghi - Hotel;3;EXCLUSIVE HOTEL;0039-0585-789263;Via Colombo, 59 - Loc. Marina di Carrara;54033;Carrara;MS;info@exclusivecarrara.com;www.exclusivecarrara.com;045003ALB0028;13977;440399803999999;100331954
CARRARA;MASSA-CARRARA;Alberghi - Hotel;3;MORGANA;0039-0585-785545;Via Colombo, 112 - Loc. Marina di Carrara;54033;Carrara;MS;info@hotelmorgana.it;www.hotelmorgana.it;045003ALB0019;13858;440359679;100438256
CARRARA;MASSA-CARRARA;Alberghi - Hotel;3;TENDA ROSSA;0039-0585-787435;Viale Cristoforo Colombo, 14 - Loc. Marina di Carrara;54033;Carrara;MS;info@hoteltendarossa.com;www.hoteltendarossa.com;045003ALB0017;13961;440096394999999;10100174
CARRARA;MASSA-CARRARA;Alberghi - Hotel;4;MICHELANGELO;0039-0585-777161;Corso C. Rosselli, 3 - Loc. CARRARA;54033;Carrara;MS;info@michelangelocarrara.it;www.michelangelocarrara.it;045003ALB0001;17055;440782402;100964314
CARRARA;MASSA-CARRARA;Alloggi Privati;0;ALLORO B&B;0039-0585-71860;Ficola, 29 bis - Loc. CARRARA;54030;Carrara;MS;beballoro@virgilio.it;;045003ALL0011;17057;440687573;100887165
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B CASA GREGORI;0039-0585-55975;Via CAVAIOLA 29 - Loc. Fossone;54033;Carrara;MS;michele@casagregori.it;www.casagregori.it;045003ALL0004;13939;440793245;10097677
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B CENTRALE;0039-0585-51292;Viale XX Settembre, 254/A - Loc. CARRARA - AVENZA - Fraz. Avenza;54033;Carrara;MS;bedandbreakfastcentrale@gmail.com;www.centralecarrara.com;045003ALL0016;17874;440503629;100577867
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B IL MONTICELLO;0039-349-2749822;Via Il Monticello, 1 - Loc. Nazzano/Bonascola;54033;Carrara;MS;ilmonticellocarrara@gmail.com;www.bedandbreakfast.it;045003ALL0024;20019;440793245;10097677
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B Laura;0039-0585-780817;Strada Vicinale Macchia, 107/C - Loc. Marina di Carrara;54033;Carrara;MS;al.laura@alice.it;www.bedandbreakfastlaura.com;045003ALL0022;19484;440359604;10043816
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B LE TARTARUGHE;0039-366-4413926;Via Bulderini, 5 - Loc. Marina di Carrara;54033;Carrara;MS;envern@tin.it;;045003ALL0027;21972;440359679;100438256
CARRARA;MASSA-CARRARA;Alloggi Privati;0;B&B SAN MARCO;0039-0585-855520;Filattiera, 15 Ter - Loc. CARRARA - AVENZA - Fraz. Avenza;54033;Carrara;MS;bandbsanmarco@libero.it;;045003ALL0017;17863;440530646;100536924
CARRARA;MASSA-CARRARA;Alloggi Privati;0;GALLERIA ARS APUA;0039-0585-70496;Via ANTICA DI BERGIOLA 1 - Loc. Bergiola;54033;Carrara;MS;info@g-arsapua.com;www.g-arsapua.com;045003ALL0005;14062;440666112;101241165
CARRARA;MASSA-CARRARA;Alloggi Privati;0;I Due Oleandri;0039-0585-786260;Via Venezia, 26 - Loc. Marina di Carrara;54033;Carrara;MS;idueoleandri@yahoo.it;;045003ALL0019;19106;440359604;10043816
CARRARA;MASSA-CARRARA;Alloggi Privati;0;IL GLICINE;0039-333-9766676;S.P. Avenza Sarzana, 58T - Loc. Avenza;54033;Carrara;MS;wannaw@tin.it;www.ilglicinebb.net;045003ALL0020;19107;440793245;10097677
CARRARA;MASSA-CARRARA;Alloggi Privati;0;IL NIDO DEL CUCULO;0039-0585-73252;Nuova Bergiola, 33 - Loc. CARRARA - Fraz. bergiola;54033;Carrara;MS;info@alnidodelcuculo.com;www.ilnidodelcuculo.com;045003ALL0002;19104;440666112;101241165
CARRARA;MASSA-CARRARA;Alloggi Privati;0;IL SALICE BIANCO B&B;0039-0585-857449;Fossone Alto, 30 - Loc. CARRARA - Fraz. Fossone;54033;Carrara;MS;ilsalicebianco@hotmail.com;www.bedandbraekfast.it;045003ALL0018;19105;440793245;10097677
CARRARA;MASSA-CARRARA;Alloggi Privati;0;I PONTI DI VARA;0039-0585-77102;LARGO DEI CANEPARI 12 - Fraz. Miseglia;54033;Carrara;MS;marmorinilaura@virgilio.it;www.ipontidivara.cjb.net;045003ALL0003;13885;440831909;101164173
CARRARA;MASSA-CARRARA;Alloggi Privati;0;La Casa Giallina;0039-0585-634391;Battilana, 17 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;f.bisagno@tiscali.it;;045003ALL0010;17056;440359679;100438256
CARRARA;MASSA-CARRARA;Alloggi Privati;0;LA MAGNOLIA VERDE;0039-0585-281058;Via Bigioni, 77 - Loc. Marina di Carrara;54033;Carrara;MS;magnoliaverde52@hotmail.it;;045003ALL0021;19108;440359604;10043816
CARRARA;MASSA-CARRARA;Alloggi Privati;0;La Volta B & B;0339-0585-040370;Via MAGENTA 30 - Loc. Fossola;54033;Carrara;MS;verdinar@libero.it;www.lavolta.biz;045003ALL0008;14020;4406875;10078011
CARRARA;MASSA-CARRARA;Alloggi Privati;0;NOTTI MAGICHE B&B;0039-339-8859777;Via Casala, 3 - Loc. Fossola;54033;Carrara;MS;bb.nottimagiche@gmail.com;www.bbnottimagiche.net;045003ALL0025;20024;440680298;100759315999999
CARRARA;MASSA-CARRARA;Alloggi Privati;0;ROSSELLI 18 B&B;0039-333-7584571;Corso Rosselli, 18 - Loc. Carrara;54033;Carrara;MS;rosselli18bb@icloud.com;rosselli18bb.freshcreator.com;045003ALL0023;19615;44075995;10094822
CARRARA;MASSA-CARRARA;Alloggi Privati;0;SALLY'S B&B;0039-0585-043698;Via Casalina, 18A - Fraz. Bonascola;54033;Carrara;MS;russo.gabriele@gmail.com;;045003ALL0026;21567;440793245;10097677
CARRARA;MASSA-CARRARA;Alloggi Privati;0;VILLA ISA B&B;0039-0585-55798;Fossone Basso, 22 - Loc. CARRARA - AVENZA;54033;Carrara;MS;villaisa@bedandbreakfastcarrara.it;www.bedandbreakfastcarrara.it;045003ALL0012;17058;440499499;1004919
CARRARA;MASSA-CARRARA;Campeggi;2;CARRARA;0039-0585-780479;Fabbricotti, 0 - Loc. Marina di Carrara;54033;Carrara;MS;info.campingcarrara@gmail.com;www.campingcarrara.it;045003CAM0001;13705;440359679;100438256
CARRARA;MASSA-CARRARA;Case per Vacanze;0;IL MARLO;0039-338-4918553;Via Delle Pinete, 21 - Loc. Marina di Carrara;54033;Carrara;MS;info@ilmarlo.it;www.ilmarlo.it;045003CAV0001;19115;440359604;10043816
CARRARA;MASSA-CARRARA;Rifugi;0;RIFUGIO CARRARARA;0039-0585-841972;LOC CAMPOCECINA - Fraz. Campocecina;54033;Carrara;MS;rifugiocaicarrara@libero.it;;045003RAL0001;13793;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;ALCIONE;0039-0585-000000;amerigo vespucci, 80 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;;;045003STB0024;17505;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;ALCIONE BEACH;0039-0585-634085;viale Vespucci, 80 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;;;045003STB0043;17484;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;ARTIGLIO;0039-0585-632070;vespucci, 14 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;paolomerlini@libero.it;;045003STB0008;17488;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;AURORA;0039-0585-1811711;A. VESPUCCI, 74 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;marcovatteroni@tiscali.it;;045003STB0002;17471;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;BAGNO CONTE;0039-0585-630209;vespucci, 48 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;;;045003STB0023;17507;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;Bagno Delfino;0039-0585-788423;Viale Colombo, 68 - Loc. Marina di Carrara;54033;Carrara;MS;;;045003STB0042;17478;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;BAGNO GIOCONDO;0039-0585-785585;vespucci, 62 - Loc. CARRARA - MARINA DI CARRARA - Fraz. marina;54033;Carrara;MS;pivatt@libero.it;;045003STB0037;17537;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;BAGNO LUCIANO;0039-0585-630580;Viale Amerigo Vespucci, 26 - Loc. Marina di Carrara;54033;Carrara;MS;lucianobeach26@gmail.com;;045003STB0004;17574;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;BAGNO PRINCIPE;0039-338-3200315;Viale Colombo 78 - Loc. Fossa Maestra Carrara;54033;Carrara;MS;principinoale@gmail.com;;045003STB0035;17642;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;BAGNO SIRENA;0039-0585-630082;Vespucci, 48 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;info@bagnosirena.it;;045003STB0031;17682;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;DORIDE;0039-0585-631326;Viale Vespucci, 28 - Fraz. Marina di Carrara;54033;Carrara;MS;stefy.23.01.83@gmail.com;;045003STB0022;17497;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;EXCELSIOR;0039-0585-630094;Viale Vespucci, 50 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;bagnoexcelsior@virgilio.it;;045003STB0021;17595;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;FIRENZE;0039-0585-634257;Viale Cristoforo Colombo, 70 - Loc. Marina di Carrara;54033;Carrara;MS;marcopardi@alice.it;;045003STB0007;17673;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;FLORIDA;0039-0585-785491;vespucci, 54 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;;;045003STB0019;17663;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;FLORIO;0039-338-4041506;Viale Colombo, 72 - Fraz. Marina di Carrara;54033;Carrara;MS;bagnoflorio@alice.it;;045003STB0018;17667;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;GRAZIELLA;0039-0585-631040;Viale Vespucci, 68 - Loc. Marina di Carrara;54033;Carrara;MS;pianinim1@virgilio.it;;045003STB0017;17499;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;LE PALME;0039-0585-630508;Viale Vespucci, 70 - Loc. Marina di Carrara;54033;Carrara;MS;coopclea@libero.it;;045003STB0016;17509;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;LIDO LEDA;0039-328-5788276;Viale Cristoforo Colombo, 76 - Loc. Marina di Carrara;54033;Carrara;MS;valyvaly88@hotmail.it;;045003STB0006;17523;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;L'ORSA MAGGIORE;0039-0585-630014;vespucci, 4 - Loc. CARRARA - MARINA DI CARRARA;54036;Carrara;MS;;;045003STB0012;17696;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;LUNEZIA;0039-0585-630795;Colombo, 74 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;;;045003STB0015;17606;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;LYDIA;0039-0585-631091;Viale Vespucci, 52 - Loc. Marina di Carrara;54033;Carrara;MS;;;045003STB0014;17591;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;MARINO;0039-0585-789206;Viale Vespucci, 66 - Loc. Marina di Carrara;54033;Carrara;MS;contatti@bagnomarino.com;www.bagnomarino.com;045003STB0033;17615;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;MEXICO;0039-0585-631623;amerigo vespucci, 0 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;;;045003STB0003;17622;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;MISTRAL;0039-0585-631316;Viale Vespucci, 2 - Loc. MARINA DI CARRARA;2;Carrara;MS;bagnomistral@yahoo.it;;045003STB0029;17628;440793245;10097677
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;MORGANA;0039-0585-788052;Vespucci, 58 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;elenabottari@libero.it;;045003STB0020;17533;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;NETTUNO;0039-0585-785396;Viale Vespucci, 10 - Loc. MARINA DI CARRARA;54033;Carrara;MS;info@hotelnedy.it;;045003STB0005;17463;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;NUOVA ITALIA;0039-328-0244351;Viale Amerigo Vespucci, 56 - Loc. Paradiso - Fraz. Marina di Carrara;54033;Carrara;MS;lenzi5@libero.it;;045003STB0011;17464;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;PARADISO;0039-0585-785559;Viale Vespucci , 60 - Loc. Marina di Carrara;54033;Carrara;MS;paradiso@bagnoparadiso.com;www.bagnoparadiso.com;045003STB0041;17644;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;PARIS;0039-0585-785531;Viale Vespucci, 64 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;;;045003STB0009;17648;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;POLDA;0039-339-1018047;Viale Vespucci, 8 - Loc. Marina di Carrara;54033;Carrara;MS;;;045003STB0044;17687;440359679;100438256
CARRARA;MASSA-CARRARA;Stabilimenti Balneari;0;ROBY;0039-333-9162666;Via Colombo, 76 - Loc. CARRARA - MARINA DI CARRARA;54033;Carrara;MS;;;045003STB0032;17623;440359679;100438256
